iter	Passed	Remaining
292	30788	74292
293	30896	74192
294	30976	74028
295	31074	73907
296	31174	73790
297	31269	73661
298	31364	73532
299	31519	73545
300	31657	73517
301	31780	73452
302	31866	73303
303	31966	73186
304	32065	73066
305	32151	72919
306	32251	72801
307	32344	72669
308	32444	72554
309	32539	72426
310	32644	72322
311	32746	72210
312	32858	72120
313	32941	71968
314	33011	71786
315	33107	71662
316	33206	71545
317	33302	71422
318	33401	71304
319	33506	71200
320	33599	71072
321	33699	70956
322	33810	70866
323	33947	70827
324	34062	70744
325	34160	70625
326	34253	70497
327	34347	70370
328	34442	70246
329	34547	70141
330	34642	70016
331	34744	69907
332	34832	69769
333	34943	69678
334	35072	69621
335	35190	69544
336	35298	69444
337	35394	69322
338	35486	69193
339	35587	69080
340	35686	68965
341	35791	68862
342	35877	68721
343	35971	68596
344	36075	68491
345	36163	68356
346	36259	68235
347	36363	68129
348	36457	68005
349	36551	67880
350	36660	67785
351	36758	67668
352	36859	67558
353	36955	67438
354	37049	67316
355	37172	67244
356	37270	67128
357	37365	67007
358	37459	66883
359	37549	66754
360	37655	66652
361	37745	66524
362	37852	66423
363	37968	66341
364	38096	66277
365	38228	66221
366	38334	66119
367	38449	66032
368	38545	65913
369	38673	65850
370	38785	65757
371	38893	65659
372	38996	65552
373	39084	65418
374	39180	65301
375	39292	65208
376	39387	65088
377	39484	64972
378	39571	64838
379	39669	64723
380	39775	64622
381	39880	64518
382	39968	64388
383	40066	64273
384	40166	64161
385	40258	64038
386	40377	63957
387	40483	63855
388	40578	63736
389	40674	63618
390	40767	63497
391	40873	63395
392	40959	63262
393	41063	63158
394	41158	63040
395	41258	62929
396	41368	62834
397	41503	62776
398	41679	62780
